Date,Open,High,Low,Close,Volume,Adj Close
2015-04-21,128.10001,128.20,126.67,126.91,32274400,126.91
2015-04-20,125.57,128.12,125.17,127.60,46934400,127.60
2015-04-17,125.55,126.14,124.46,124.75,51323900,124.75
2015-04-16,126.28,127.10,126.11,126.17,27895300,126.17
2015-04-15,126.41,127.13,126.01,126.78,28848900,126.78
2015-04-14,127.00,127.29,125.91,126.30,25524600,126.30
2015-04-13,128.37,128.57001,126.61,126.85,36365100,126.85
2015-04-10,125.95,127.21,125.26,127.10,40188000,127.10
2015-04-09,125.85,126.58,124.66,126.56,32484000,126.56
2015-04-08,125.85,126.40,124.97,125.60,37329200,125.60
2015-04-07,127.64,128.12,125.98,126.01,35012300,126.01
2015-04-06,124.47,127.51,124.33,127.35,37194000,127.35
2015-04-02,125.03,125.56,124.19,125.32,32220100,125.32
2015-04-01,124.82,125.12,123.10,124.25,40621400,124.25
2015-03-31,126.09,126.49,124.36,124.43,42090600,124.43
2015-03-30,124.05,126.40,124.00,126.37,47099700,126.37
2015-03-27,124.57,124.70,122.91,123.25,39546200,123.25
2015-03-26,122.76,124.88,122.60,124.24,47572900,124.24
2015-03-25,126.54,126.82,123.38,123.38,51655200,123.38
2015-03-24,127.23,128.03999,126.56,126.69,32842300,126.69
2015-03-23,127.12,127.85,126.52,127.21,37709700,127.21
2015-03-20,128.25,128.39999,125.16,125.90,68695100,125.90
2015-03-19,128.75,129.25,127.40,127.50,45809500,127.50
2015-03-18,127.00,129.16,126.37,128.47,65270900,128.47
2015-03-17,125.90,127.32,125.65,127.04,51023100,127.04
2015-03-16,123.88,124.95,122.87,124.95,35874300,124.95
2015-03-13,124.40,125.40,122.58,123.59,51827300,123.59
2015-03-12,122.31,124.90,121.63,124.45,48362700,124.45
2015-03-11,124.75,124.77,122.11,122.24,68939000,122.24
2015-03-10,126.41,127.22,123.80,124.51,68856600,124.51
2015-03-09,127.96,129.57001,125.06,127.14,88528500,127.14
2015-03-06,128.39999,129.37,126.26,126.60,72842100,126.60
2015-03-05,128.58,128.75,125.76,126.41,56517100,126.41
2015-03-04,129.10001,129.56,128.32001,128.53999,31666300,128.53999
2015-03-03,128.96001,129.52,128.09,129.36,37816300,129.36
2015-03-02,129.25,130.28,128.30,129.09,48096700,129.09
2015-02-27,130.00,130.57001,128.24001,128.46001,62014800,128.46001
2015-02-26,128.78999,130.87,126.61,130.42,91287500,130.42
2015-02-25,131.56,131.60001,128.14999,128.78999,74711700,128.78999
2015-02-24,132.94,133.60001,131.17,132.17,69228100,132.17
2015-02-23,130.02,133.00,129.66,133.00,70974100,133.00
2015-02-20,128.62,129.50,128.05,129.50,48948400,129.50
2015-02-19,128.48,129.03,128.33,128.45,37362400,128.45
2015-02-18,127.63,128.78,127.45,128.72,44891700,128.72
2015-02-17,127.49,128.88,126.92,127.83,63152400,127.83
2015-02-13,127.28,127.28,125.65,127.08,54272200,127.08
2015-02-12,126.06,127.48,125.57,126.46,74474500,126.46
2015-02-11,122.77,124.92,122.50,124.88,73561800,124.88
2015-02-10,120.17,122.15,120.16,122.02,62008500,122.02
2015-02-09,118.55,119.84,118.43,119.72,38889800,119.72
2015-02-06,120.02,120.25,118.45,118.93,43372000,118.93
2015-02-05,120.02,120.23,119.25,119.94,42246200,119.94
2015-02-04,118.50,120.51,118.31,119.56,70149700,119.09
